date_index,product_index,store_index,date,day_of_week,temperature,product,product_type,product_category,store,sales,product_at_store
0,0,0,2019-01-01,1,4.092156862745098,Skis 1,Skis,Snow,Flagship,63.0,Skis 1 (Flagship)
0,0,1,2019-01-01,1,4.092156862745098,Skis 1,Skis,Snow,Suburbs,31.0,Skis 1 (Suburbs)
0,0,2,2019-01-01,1,4.092156862745098,Skis 1,Skis,Snow,Outskirts,16.0,Skis 1 (Outskirts)
0,1,0,2019-01-01,1,4.092156862745098,Skis 2,Skis,Snow,Flagship,63.0,Skis 2 (Flagship)
0,1,1,2019-01-01,1,4.092156862745098,Skis 2,Skis,Snow,Suburbs,30.0,Skis 2 (Suburbs)
0,1,2,2019-01-01,1,4.092156862745098,Skis 2,Skis,Snow,Outskirts,16.0,Skis 2 (Outskirts)
0,2,0,2019-01-01,1,4.092156862745098,Skates 1,Skates,Snow,Flagship,48.0,Skates 1 (Flagship)
0,2,1,2019-01-01,1,4.092156862745098,Skates 1,Skates,Snow,Suburbs,25.0,Skates 1 (Suburbs)
0,2,2,2019-01-01,1,4.092156862745098,Skates 1,Skates,Snow,Outskirts,13.0,Skates 1 (Outskirts)
0,3,0,2019-01-01,1,4.092156862745098,Skates 2,Skates,Snow,Flagship,48.0,Skates 2 (Flagship)
0,3,1,2019-01-01,1,4.092156862745098,Skates 2,Skates,Snow,Suburbs,23.0,Skates 2 (Suburbs)
0,3,2,2019-01-01,1,4.092156862745098,Skates 2,Skates,Snow,Outskirts,10.0,Skates 2 (Outskirts)
0,4,0,2019-01-01,1,4.092156862745098,Snowboots 1,Snowboots,Snow,Flagship,68.0,Snowboots 1 (Flagship)
0,4,1,2019-01-01,1,4.092156862745098,Snowboots 1,Snowboots,Snow,Suburbs,34.0,Snowboots 1 (Suburbs)
0,4,2,2019-01-01,1,4.092156862745098,Snowboots 1,Snowboots,Snow,Outskirts,17.0,Snowboots 1 (Outskirts)
0,5,0,2019-01-01,1,4.092156862745098,Boat 1,Boat,Water,Flagship,22.0,Boat 1 (Flagship)
0,5,1,2019-01-01,1,4.092156862745098,Boat 1,Boat,Water,Suburbs,12.0,Boat 1 (Suburbs)
0,5,2,2019-01-01,1,4.092156862745098,Boat 1,Boat,Water,Outskirts,5.0,Boat 1 (Outskirts)
0,6,0,2019-01-01,1,4.092156862745098,Boat 2,Boat,Water,Flagship,23.0,Boat 2 (Flagship)
0,6,1,2019-01-01,1,4.092156862745098,Boat 2,Boat,Water,Suburbs,11.0,Boat 2 (Suburbs)
0,6,2,2019-01-01,1,4.092156862745098,Boat 2,Boat,Water,Outskirts,4.0,Boat 2 (Outskirts)
0,7,0,2019-01-01,1,4.092156862745098,Swimsuit 1,Swimsuit,Water,Flagship,56.0,Swimsuit 1 (Flagship)
0,7,1,2019-01-01,1,4.092156862745098,Swimsuit 1,Swimsuit,Water,Suburbs,28.0,Swimsuit 1 (Suburbs)
0,7,2,2019-01-01,1,4.092156862745098,Swimsuit 1,Swimsuit,Water,Outskirts,14.0,Swimsuit 1 (Outskirts)
0,8,0,2019-01-01,1,4.092156862745098,Swimsuit 2,Swimsuit,Water,Flagship,58.0,Swimsuit 2 (Flagship)
0,8,1,2019-01-01,1,4.092156862745098,Swimsuit 2,Swimsuit,Water,Suburbs,30.0,Swimsuit 2 (Suburbs)
0,8,2,2019-01-01,1,4.092156862745098,Swimsuit 2,Swimsuit,Water,Outskirts,14.0,Swimsuit 2 (Outskirts)
0,9,0,2019-01-01,1,4.092156862745098,Swimsuit 3,Swimsuit,Water,Flagship,60.0,Swimsuit 3 (Flagship)
0,9,1,2019-01-01,1,4.092156862745098,Swimsuit 3,Swimsuit,Water,Suburbs,31.0,Swimsuit 3 (Suburbs)
0,9,2,2019-01-01,1,4.092156862745098,Swimsuit 3,Swimsuit,Water,Outskirts,15.0,Swimsuit 3 (Outskirts)
1,0,0,2019-01-02,2,4.084313725490196,Skis 1,Skis,Snow,Flagship,62.0,Skis 1 (Flagship)
1,0,1,2019-01-02,2,4.084313725490196,Skis 1,Skis,Snow,Suburbs,31.0,Skis 1 (Suburbs)
1,0,2,2019-01-02,2,4.084313725490196,Skis 1,Skis,Snow,Outskirts,16.0,Skis 1 (Outskirts)
1,1,0,2019-01-02,2,4.084313725490196,Skis 2,Skis,Snow,Flagship,62.0,Skis 2 (Flagship)
1,1,1,2019-01-02,2,4.084313725490196,Skis 2,Skis,Snow,Suburbs,30.0,Skis 2 (Suburbs)
1,1,2,2019-01-02,2,4.084313725490196,Skis 2,Skis,Snow,Outskirts,16.0,Skis 2 (Outskirts)
1,2,0,2019-01-02,2,4.084313725490196,Skates 1,Skates,Snow,Flagship,50.0,Skates 1 (Flagship)
1,2,1,2019-01-02,2,4.084313725490196,Skates 1,Skates,Snow,Suburbs,25.0,Skates 1 (Suburbs)
1,2,2,2019-01-02,2,4.084313725490196,Skates 1,Skates,Snow,Outskirts,14.0,Skates 1 (Outskirts)
1,3,0,2019-01-02,2,4.084313725490196,Skates 2,Skates,Snow,Flagship,48.0,Skates 2 (Flagship)
