date_index,product_index,store_index,date,day_of_week,temperature,product,product_type,product_category,store,sales
0,0,0,2019-01-01,1,4.092156862745098,Skis 1,Skis,Snow,Flagship,63.0
0,0,1,2019-01-01,1,4.092156862745098,Skis 1,Skis,Snow,Suburbs,31.0
0,0,2,2019-01-01,1,4.092156862745098,Skis 1,Skis,Snow,Outskirts,16.0
0,1,0,2019-01-01,1,4.092156862745098,Skis 2,Skis,Snow,Flagship,63.0
0,1,1,2019-01-01,1,4.092156862745098,Skis 2,Skis,Snow,Suburbs,30.0
0,1,2,2019-01-01,1,4.092156862745098,Skis 2,Skis,Snow,Outskirts,16.0
0,2,0,2019-01-01,1,4.092156862745098,Skates 1,Skates,Snow,Flagship,48.0
0,2,1,2019-01-01,1,4.092156862745098,Skates 1,Skates,Snow,Suburbs,25.0
0,2,2,2019-01-01,1,4.092156862745098,Skates 1,Skates,Snow,Outskirts,13.0
0,3,0,2019-01-01,1,4.092156862745098,Skates 2,Skates,Snow,Flagship,48.0
0,3,1,2019-01-01,1,4.092156862745098,Skates 2,Skates,Snow,Suburbs,23.0
0,3,2,2019-01-01,1,4.092156862745098,Skates 2,Skates,Snow,Outskirts,10.0
0,4,0,2019-01-01,1,4.092156862745098,Snowboots 1,Snowboots,Snow,Flagship,68.0
0,4,1,2019-01-01,1,4.092156862745098,Snowboots 1,Snowboots,Snow,Suburbs,34.0
0,4,2,2019-01-01,1,4.092156862745098,Snowboots 1,Snowboots,Snow,Outskirts,17.0
0,5,0,2019-01-01,1,4.092156862745098,Boat 1,Boat,Water,Flagship,22.0
0,5,1,2019-01-01,1,4.092156862745098,Boat 1,Boat,Water,Suburbs,12.0
0,5,2,2019-01-01,1,4.092156862745098,Boat 1,Boat,Water,Outskirts,5.0
0,6,0,2019-01-01,1,4.092156862745098,Boat 2,Boat,Water,Flagship,23.0
0,6,1,2019-01-01,1,4.092156862745098,Boat 2,Boat,Water,Suburbs,11.0
0,6,2,2019-01-01,1,4.092156862745098,Boat 2,Boat,Water,Outskirts,4.0
0,7,0,2019-01-01,1,4.092156862745098,Swimsuit 1,Swimsuit,Water,Flagship,56.0
0,7,1,2019-01-01,1,4.092156862745098,Swimsuit 1,Swimsuit,Water,Suburbs,28.0
0,7,2,2019-01-01,1,4.092156862745098,Swimsuit 1,Swimsuit,Water,Outskirts,14.0
0,8,0,2019-01-01,1,4.092156862745098,Swimsuit 2,Swimsuit,Water,Flagship,58.0
0,8,1,2019-01-01,1,4.092156862745098,Swimsuit 2,Swimsuit,Water,Suburbs,30.0
0,8,2,2019-01-01,1,4.092156862745098,Swimsuit 2,Swimsuit,Water,Outskirts,14.0
0,9,0,2019-01-01,1,4.092156862745098,Swimsuit 3,Swimsuit,Water,Flagship,60.0
0,9,1,2019-01-01,1,4.092156862745098,Swimsuit 3,Swimsuit,Water,Suburbs,31.0
0,9,2,2019-01-01,1,4.092156862745098,Swimsuit 3,Swimsuit,Water,Outskirts,15.0
1,0,0,2019-01-02,2,4.084313725490196,Skis 1,Skis,Snow,Flagship,62.0
1,0,1,2019-01-02,2,4.084313725490196,Skis 1,Skis,Snow,Suburbs,31.0
1,0,2,2019-01-02,2,4.084313725490196,Skis 1,Skis,Snow,Outskirts,16.0
1,1,0,2019-01-02,2,4.084313725490196,Skis 2,Skis,Snow,Flagship,62.0
1,1,1,2019-01-02,2,4.084313725490196,Skis 2,Skis,Snow,Suburbs,30.0
1,1,2,2019-01-02,2,4.084313725490196,Skis 2,Skis,Snow,Outskirts,16.0
1,2,0,2019-01-02,2,4.084313725490196,Skates 1,Skates,Snow,Flagship,50.0
1,2,1,2019-01-02,2,4.084313725490196,Skates 1,Skates,Snow,Suburbs,25.0
1,2,2,2019-01-02,2,4.084313725490196,Skates 1,Skates,Snow,Outskirts,14.0
1,3,0,2019-01-02,2,4.084313725490196,Skates 2,Skates,Snow,Flagship,48.0
1,3,1,2019-01-02,2,4.084313725490196,Skates 2,Skates,Snow,Suburbs,24.0
1,3,2,2019-01-02,2,4.084313725490196,Skates 2,Skates,Snow,Outskirts,13.0
1,4,0,2019-01-02,2,4.084313725490196,Snowboots 1,Snowboots,Snow,Flagship,69.0
1,4,1,2019-01-02,2,4.084313725490196,Snowboots 1,Snowboots,Snow,Suburbs,34.0
1,4,2,2019-01-02,2,4.084313725490196,Snowboots 1,Snowboots,Snow,Outskirts,16.0
1,5,0,2019-01-02,2,4.084313725490196,Boat 1,Boat,Water,Flagship,23.0
1,5,1,2019-01-02,2,4.084313725490196,Boat 1,Boat,Water,Suburbs,13.0
1,5,2,2019-01-02,2,4.084313725490196,Boat 1,Boat,Water,Outskirts,5.0
1,6,0,2019-01-02,2,4.084313725490196,Boat 2,Boat,Water,Flagship,24.0
1,6,1,2019-01-02,2,4.084313725490196,Boat 2,Boat,Water,Suburbs,11.0
1,6,2,2019-01-02,2,4.084313725490196,Boat 2,Boat,Water,Outskirts,6.0
1,7,0,2019-01-02,2,4.084313725490196,Swimsuit 1,Swimsuit,Water,Flagship,56.0
1,7,1,2019-01-02,2,4.084313725490196,Swimsuit 1,Swimsuit,Water,Suburbs,29.0
1,7,2,2019-01-02,2,4.084313725490196,Swimsuit 1,Swimsuit,Water,Outskirts,15.0
1,8,0,2019-01-02,2,4.084313725490196,Swimsuit 2,Swimsuit,Water,Flagship,59.0
1,8,1,2019-01-02,2,4.084313725490196,Swimsuit 2,Swimsuit,Water,Suburbs,28.0
1,8,2,2019-01-02,2,4.084313725490196,Swimsuit 2,Swimsuit,Water,Outskirts,16.0
1,9,0,2019-01-02,2,4.084313725490196,Swimsuit 3,Swimsuit,Water,Flagship,60.0
1,9,1,2019-01-02,2,4.084313725490196,Swimsuit 3,Swimsuit,Water,Suburbs,32.0
1,9,2,2019-01-02,2,4.084313725490196,Swimsuit 3,Swimsuit,Water,Outskirts,13.0
2,0,0,2019-01-03,3,4.043137254901961,Skis 1,Skis,Snow,Flagship,69.0
2,0,1,2019-01-03,3,4.043137254901961,Skis 1,Skis,Snow,Suburbs,34.0
2,0,2,2019-01-03,3,4.043137254901961,Skis 1,Skis,Snow,Outskirts,16.0
2,1,0,2019-01-03,3,4.043137254901961,Skis 2,Skis,Snow,Flagship,69.0
2,1,1,2019-01-03,3,4.043137254901961,Skis 2,Skis,Snow,Suburbs,34.0
2,1,2,2019-01-03,3,4.043137254901961,Skis 2,Skis,Snow,Outskirts,16.0
2,2,0,2019-01-03,3,4.043137254901961,Skates 1,Skates,Snow,Flagship,54.0
2,2,1,2019-01-03,3,4.043137254901961,Skates 1,Skates,Snow,Suburbs,27.0
2,2,2,2019-01-03,3,4.043137254901961,Skates 1,Skates,Snow,Outskirts,13.0
2,3,0,2019-01-03,3,4.043137254901961,Skates 2,Skates,Snow,Flagship,53.0
2,3,1,2019-01-03,3,4.043137254901961,Skates 2,Skates,Snow,Suburbs,25.0
2,3,2,2019-01-03,3,4.043137254901961,Skates 2,Skates,Snow,Outskirts,12.0
2,4,0,2019-01-03,3,4.043137254901961,Snowboots 1,Snowboots,Snow,Flagship,75.0
2,4,1,2019-01-03,3,4.043137254901961,Snowboots 1,Snowboots,Snow,Suburbs,38.0
2,4,2,2019-01-03,3,4.043137254901961,Snowboots 1,Snowboots,Snow,Outskirts,19.0
2,5,0,2019-01-03,3,4.043137254901961,Boat 1,Boat,Water,Flagship,23.0
2,5,1,2019-01-03,3,4.043137254901961,Boat 1,Boat,Water,Suburbs,12.0
2,5,2,2019-01-03,3,4.043137254901961,Boat 1,Boat,Water,Outskirts,6.0
2,6,0,2019-01-03,3,4.043137254901961,Boat 2,Boat,Water,Flagship,25.0
2,6,1,2019-01-03,3,4.043137254901961,Boat 2,Boat,Water,Suburbs,14.0
2,6,2,2019-01-03,3,4.043137254901961,Boat 2,Boat,Water,Outskirts,6.0
2,7,0,2019-01-03,3,4.043137254901961,Swimsuit 1,Swimsuit,Water,Flagship,62.0
2,7,1,2019-01-03,3,4.043137254901961,Swimsuit 1,Swimsuit,Water,Suburbs,30.0
2,7,2,2019-01-03,3,4.043137254901961,Swimsuit 1,Swimsuit,Water,Outskirts,16.0
2,8,0,2019-01-03,3,4.043137254901961,Swimsuit 2,Swimsuit,Water,Flagship,64.0
2,8,1,2019-01-03,3,4.043137254901961,Swimsuit 2,Swimsuit,Water,Suburbs,35.0
2,8,2,2019-01-03,3,4.043137254901961,Swimsuit 2,Swimsuit,Water,Outskirts,15.0
2,9,0,2019-01-03,3,4.043137254901961,Swimsuit 3,Swimsuit,Water,Flagship,70.0
2,9,1,2019-01-03,3,4.043137254901961,Swimsuit 3,Swimsuit,Water,Suburbs,33.0
2,9,2,2019-01-03,3,4.043137254901961,Swimsuit 3,Swimsuit,Water,Outskirts,17.0
3,0,0,2019-01-04,4,3.9862745098039216,Skis 1,Skis,Snow,Flagship,76.0
3,0,1,2019-01-04,4,3.9862745098039216,Skis 1,Skis,Snow,Suburbs,38.0
3,0,2,2019-01-04,4,3.9862745098039216,Skis 1,Skis,Snow,Outskirts,20.0
3,1,0,2019-01-04,4,3.9862745098039216,Skis 2,Skis,Snow,Flagship,75.0
3,1,1,2019-01-04,4,3.9862745098039216,Skis 2,Skis,Snow,Suburbs,38.0
3,1,2,2019-01-04,4,3.9862745098039216,Skis 2,Skis,Snow,Outskirts,19.0
3,2,0,2019-01-04,4,3.9862745098039216,Skates 1,Skates,Snow,Flagship,59.0
3,2,1,2019-01-04,4,3.9862745098039216,Skates 1,Skates,Snow,Suburbs,30.0
3,2,2,2019-01-04,4,3.9862745098039216,Skates 1,Skates,Snow,Outskirts,14.0
3,3,0,2019-01-04,4,3.9862745098039216,Skates 2,Skates,Snow,Flagship,57.0
3,3,1,2019-01-04,4,3.9862745098039216,Skates 2,Skates,Snow,Suburbs,29.0
3,3,2,2019-01-04,4,3.9862745098039216,Skates 2,Skates,Snow,Outskirts,15.0
3,4,0,2019-01-04,4,3.9862745098039216,Snowboots 1,Snowboots,Snow,Flagship,81.0
